"","category","name","Runs","Sample","time.point","Fmate","Start","Stop","diff","time","name.1","total.counts","Man.beads","Man.picoEuks.syn","Man.syn.beads","Man.synpop1","Man.synpop2","Man.synpop3","Man.prochloro","Comp.synpop1","Comp.synpop2","Comp.synpop3","Comp.prochloro","picophyto","fullSyn","synPop1","synPop2","synPop3","prochl","bactAndPro","hetBact"
"74","cont","KDHIII_38_2Mar18_002.fcs",4,"Cont8-april30",0,191,2.4384,2.2356,0.2028,"8min","KDHIII_38_2Mar18_002.fcs",135598,3399,2042,4949,931,233,213,28633,885,232,203,27137,2426.03550295858,7642.99802761341,4590.72978303748,1148.91518737673,1050.29585798817,141188.362919132,417417.582417582,276229.21949845
"75","cont","KDHIII_38_2Mar18_003.fcs",4,"Cont8-april30",2,191,2.4339,2.2284,0.2055,"8min","KDHIII_38_2Mar18_003.fcs",139966,3451,2223,5118,1055,250,202,30711,992,249,195,28973,2705.59610705596,8111.92214111922,5133.8199513382,1216.54501216545,982.968369829684,149445.255474453,405716.945996276,256271.690521823
"76","siderastrea","KDHIII_38_2Mar18_004.fcs",4,"S8-april30",1,190,2.4651,2.2612,0.2039,"8min","KDHIII_38_2Mar18_004.fcs",150107,3429,2133,4968,1015,241,210,30189,959,228,190,28274,2913.19274153997,7547.81755762629,4977.93035801864,1181.95193722413,1029.91662579696,148057.87150564,603712.686567164,455654.815061524
"77","siderastrea","KDHIII_38_2Mar18_005.fcs",4,"S8-april30",0,190,2.4671,2.2602,0.2069,"8min","KDHIII_38_2Mar18_005.fcs",134549,3055,2027,4545,963,219,198,27619,899,213,195,26130,2595.45674238763,7201.54664088932,4654.42242629289,1058.48235862736,956.984050265829,133489.608506525,560485.981308411,426996.372801886
"78","siderastrea","KDHIII_38_2Mar18_006.fcs",4,"S8-april30",2,189,2.4358,2.2346,0.2012,"8min","KDHIII_38_2Mar18_006.fcs",243755,3006,2297,4930,1016,249,246,31330,954,236,245,29216,1853.87673956262,9562.62425447316,5049.70178926441,1237.5745526839,1222.66401590457,155715.705765408,835332.103321033,679616.397555626
"79","madracis","KDHIII_38_2Mar18_007.fcs",4,"MM7-april30",1,191,2.4706,2.2675,0.2031,"8min","KDHIII_38_2Mar18_007.fcs",115483,3044,2012,4517,961,200,182,27519,921,188,180,26207,2653.86509108813,7252.58493353028,4731.6592811423,984.736582964057,896.110290497292,135494.830132939,571121.495327103,435626.665194163
"80","madracis","KDHIII_38_2Mar18_008.fcs",4,"MM7-april30",0,191,2.4629,2.2588,0.2041,"8min","KDHIII_38_2Mar18_008.fcs",110980,3000,2107,4560,1032,231,158,26807,955,220,152,25563,2680.05879470848,7643.31210191083,5056.34492895639,1131.79813816756,774.130328270456,131342.479176874,707736.31840796,576393.839231086
"81","madracis","KDHIII_38_2Mar18_009.fcs",4,"MM7-april30",2,190,2.4665,2.2642,0.2023,"8min","KDHIII_38_2Mar18_009.fcs",143066,3162,1352,4271,641,177,142,24757,613,175,125,23649,1201.1863568957,5481.9574888779,3168.56154226396,874.938210578349,701.927829955512,122377.656945131,609759.259259259,487381.602314128
"82","siderastrea","KDHIII_38_2Mar18_010.fcs",4,"S7-april30",1,189,2.4057,2.2045,0.2012,"8min","KDHIII_38_2Mar18_010.fcs",135430,2576,2034,3985,941,212,163,25889,888,201,159,24639,3106.36182902585,7002.98210735587,4676.93836978131,1053.67793240557,810.13916500994,128672.96222664,321681.901279707,193008.939053067
"83","siderastrea","KDHIII_38_2Mar18_011.fcs",4,"S7-april30",0,180,2.4249,2.2305,0.1944,"8min","KDHIII_38_2Mar18_011.fcs",124405,2419,2068,3899,963,215,193,25735,907,212,193,24516,3024.69135802469,7613.16872427984,4953.7037037037,1105.9670781893,992.798353909465,132381.687242798,350129.390018484,217747.702775686
"84","siderastrea","KDHIII_38_2Mar18_012.fcs",4,"S7-april30",2,193,2.4196,2.2145,0.2051,"8min","KDHIII_38_2Mar18_012.fcs",88581,2541,1287,3386,558,117,104,15823,523,113,97,14920,2155.04631886884,4119.94149195514,2720.6240858118,570.453437347635,507.069722086787,77147.7328132618,258436.911487759,181289.178674497
"85","porites","KDHIII_38_2Mar18_013.fcs",4,"PA8-april30",1,193,2.4412,2.2365,0.2047,"8min","KDHIII_38_2Mar18_013.fcs",115418,2533,2149,4020,1008,194,183,27262,962,185,181,25886,3234.00097703957,7264.28920371275,4924.27943331705,947.728382999512,893.991206643869,133180.263800684,455410.447761194,322230.18396051
"86","porites","KDHIII_38_2Mar18_014.fcs",4,"PA8-april30",0,192,2.4341,2.2305,0.2036,"8min","KDHIII_38_2Mar18_014.fcs",129710,2625,2261,4192,1056,226,185,27835,992,217,177,26530,3408.64440078585,7696.46365422397,5186.64047151277,1110.01964636542,908.644400785855,136714.145383104,550643.939393939,413929.794010835
"87","porites","KDHIII_38_2Mar18_015.fcs",4,"PA8-april30",2,192,2.4945,2.292,0.2025,"8min","KDHIII_38_2Mar18_015.fcs",147236,2462,1468,3507,663,126,133,20244,636,121,124,18835,2088.88888888889,5160.49382716049,3274.07407407407,622.222222222222,656.79012345679,99970.3703703704,540371.057513915,440400.687143544
"88","madracis","KDHIII_38_2Mar18_016.fcs",4,"MM8-april30",1,191,2.4441,2.2407,0.2034,"8min","KDHIII_38_2Mar18_016.fcs",154668,2440,1936,3900,892,181,190,27755,857,176,188,26450,2340.21632251721,7177.9744346116,4385.44739429695,889.872173058014,934.119960668633,136455.260570305,562352.941176471,425897.680606166
"89","madracis","KDHIII_38_2Mar18_017.fcs",4,"MM8-april30",0,191,2.4641,2.261,0.2031,"8min","KDHIII_38_2Mar18_017.fcs",113712,2500,2201,4192,1023,201,227,28745,974,196,216,27282,2506.15460364353,8330.87149187592,5036.92762186115,989.660265878877,1117.6760216642,141531.265386509,389814.471243043,248283.205856534
"90","madracis","KDHIII_38_2Mar18_018.fcs",4,"MM8-april30",2,190,2.4807,2.2793,0.2014,"8min","KDHIII_38_2Mar18_018.fcs",104987,2428,1140,3282,469,131,138,21207,438,119,132,20215,1420.05958291956,4240.317775571,2328.69910625621,650.446871896723,685.203574975174,105297.914597815,484221.38836773,378923.473769915
"91","porites","KDHIII_38_2Mar18_019.fcs",4,"PA7-april30",1,191,2.4377,2.2359,0.2018,"8min","KDHIII_38_2Mar18_019.fcs",126110,2316,2207,3807,937,227,174,29302,915,216,164,27934,3548.06739345887,7388.50346878097,4643.21110009911,1124.87611496531,862.239841427156,145203.171456888,560431.034482759,415227.863025871
"92","porites","KDHIII_38_2Mar18_020.fcs",4,"PA7-april30",0,191,2.4387,2.2363,0.2024,"8min","KDHIII_38_2Mar18_020.fcs",113279,2278,2374,3878,1014,241,203,28467,989,234,203,27109,3824.11067193676,7905.13833992095,5009.8814229249,1190.71146245059,1002.96442687747,140647.233201581,377097.966728281,236450.7335267
"93","porites","KDHIII_38_2Mar18_021.fcs",4,"PA7-april30",2,189,2.4189,2.2172,0.2017,"8min","KDHIII_38_2Mar18_021.fcs",143914,2374,2065,3908,935,204,190,28831,903,195,184,26978,2632.62270699058,7605.35448686168,4635.59742191373,1011.40307387209,941.993058998513,142940.009915716,408067.542213884,265127.532298167
"94","cont","KDHIII_38_2Mar18_022.fcs",4,"Cont7-april30",1,191,2.427,2.2237,0.2033,"8min","KDHIII_38_2Mar18_022.fcs",102161,2285,2180,3878,1026,248,197,28827,978,243,197,27591,2887.35858337432,7835.71077225775,5046.72897196262,1219.872110182,969.011313330054,141795.376291195,379962.82527881,238167.448987615
"95","cont","KDHIII_38_2Mar18_024.fcs",4,"Cont7-april30",0,190,2.4429,2.2378,0.2051,"8min","KDHIII_38_2Mar18_024.fcs",94123,2154,2181,3756,1019,256,201,28173,980,248,189,26956,2823.01316431009,7810.82398829839,4968.30814236958,1248.17162359824,980.009751340809,137362.262311068,564816.84981685,427454.587505782
"96","cont","KDHIII_38_2Mar18_025.fcs",4,"Cont7-april30",2,190,2.5094,2.3071,0.2023,"8min","KDHIII_38_2Mar18_025.fcs",101650,2288,2368,3929,1105,234,182,30341,1053,224,171,28827,3593.67276322294,8111.71527434503,5462.18487394958,1156.69797330697,899.653979238754,149980.227385072,447393.715341959,297413.487956888
