"","category","name","Runs","Sample","time.point","Fmate","Start","Stop","diff","time","name.1","total.counts","Man.beads","Man.picoEuks.syn","Man.syn.beads","Man.synpop1","Man.synpop2","Man.synpop3","Man.prochloro","Comp.synpop1","Comp.synpop2","Comp.synpop3","Comp.prochloro","picophyto","fullSyn","synPop1","synPop2","synPop3","prochl","bactAndPro","hetBact"
"19","cont","KDHII_38_7Mar18_019.fcs",3,"Cont5-april29",0,190,2.4526,2.2502,0.2024,"8min","KDHII_38_7Mar18_019.fcs",236707,1630,3103,4013,1059,522,658,19194,1021,522,632,18263,3557.31225296443,11773.7154150198,5232.21343873518,2579.05138339921,3250.98814229249,94832.0158102767,524611.0056926,429778.989882323
"20","cont","KDHII_38_7Mar18_020.fcs",3,"Cont5-april29",1,189,2.4948,2.2941,0.2007,"8min","KDHII_38_7Mar18_020.fcs",214371,1674,3336,4367,1239,506,818,19751,1176,503,775,18844,3203.78674638764,13418.0368709517,6173.39312406577,2521.17588440458,4075.73492775287,98410.5630293971,405519.031141869,307108.468112471
"21","cont","KDHII_38_7Mar18_021.fcs",3,"Cont5-april29",2,190,2.4362,2.2344,0.2018,"8min","KDHII_38_7Mar18_021.fcs",253762,1771,4036,4995,1695,554,796,32729,1566,537,739,30532,4023.78592666006,15976.2140733399,8399.4053518335,2745.29236868186,3944.49950445986,162185.332011893,580074.349442379,417889.017430486
"22","cont","KDHII_38_7Mar18_022.fcs",3,"Cont6-april29",0,194,2.4497,2.243,0.2067,"8min","KDHII_38_7Mar18_022.fcs",225462,1581,2992,3919,1019,464,747,18052,948,459,708,17139,3164.00580551524,11311.0788582487,4929.85002418965,2244.7992259313,3613.93323657475,87334.3009192066,515792.349726776,428458.048807569
"23","cont","KDHII_38_7Mar18_023.fcs",3,"Cont6-april29",1,191,2.4479,2.2447,0.2032,"8min","KDHII_38_7Mar18_023.fcs",213968,1533,3203,4139,1251,467,771,18542,1158,451,736,17615,2937.99212598425,12824.8031496063,6156.49606299213,2298.22834645669,3794.29133858268,91250,437286.24535316,346036.24535316
"24","cont","KDHII_38_7Mar18_024.fcs",3,"Cont6-april29",2,191,2.3952,2.1917,0.2035,"8min","KDHII_38_7Mar18_024.fcs",247048,1666,3777,4773,1628,579,750,30841,1530,560,700,28885,3292.38329238329,15267.8132678133,8000,2845.20884520885,3685.50368550369,151552.825552826,583129.62962963,431576.804076804
"25","cont","KDHIII_37_15_Feb18_002.fcs",1,"Cont1-april28",1,185.95,2.4,2.1777,0.2223,"8min","KDHIII_37_15_Feb18_002.fcs",128588,5311,5635,10755,1470,955,2636,18312,1414,937,2517,17568,859.199280251912,24489.428699955,6612.68556005398,4295.99640125956,11857.8497525866,82375.1686909582,502162.698412698,419787.52972174
"26","cont","KDHIII_37_15_Feb18_004.fcs",1,"Cont1-april28",0,170,2.2703,2.0732,0.1971,"8min","KDHIII_37_15_Feb18_004.fcs",112046,3824,4892,8411,1253,941,2110,15752,1236,883,2060,15380,1547.43784880771,23272.4505327245,6357.17909690512,4774.2262810756,10705.2257737189,79918.8229325216,478622.047244095,398703.224311573
"27","cont","KDHIII_37_15_Feb18_005.fcs",1,"Cont1-april28",2,185,2.4042,2.2036,0.2006,"8min","KDHIII_37_15_Feb18_005.fcs",117299,3723,6524,9815,1868,1530,2841,25286,1732,1384,2666,23470,2153.53938185444,30368.8933200399,9312.06380857428,7627.1186440678,14162.5124626122,126051.8444666,572549.800796813,446497.956330213
"28","madracis","KDHIII_37_15_Feb18_006.fcs",1,"MM2-april28",0,180,2.4632,2.2611,0.2021,"8min","KDHIII_37_15_Feb18_006.fcs",137133,4186,4823,8460,1086,764,2261,16225,1024,741,2131,15776,2716.47699158832,21147.9465611084,5373.57743691242,3780.30677882237,11187.5309252845,80282.0385947551,498860.294117647,418578.255522892
"29","madracis","KDHIII_37_15_Feb18_007.fcs",1,"MM2-april28",1,190,2.4523,2.2495,0.2028,"8min","KDHIII_37_15_Feb18_007.fcs",100153,3605,4161,7631,996,778,1928,13112,927,765,1843,12533,665.680473372781,19852.0710059172,4911.2426035503,3836.29191321499,9506.9033530572,64654.83234714,422470.997679814,357816.165332674
"30","madracis","KDHIII_37_15_Feb18_008.fcs",1,"MM2-april28",2,190,2.4158,2.2138,0.202,"8min","KDHIII_37_15_Feb18_008.fcs",51407,3399,1607,4949,452,299,821,7026,418,284,729,6609,282.178217821782,7673.26732673267,2237.62376237624,1480.19801980198,4064.35643564356,34782.1782178218,280408.921933086,245626.743715264
"31","madracis","KDHIII_37_15_Feb18_009.fcs",1,"MM1-april28",0,190,2.4171,2.218,0.1991,"8min","KDHIII_37_15_Feb18_009.fcs",134416,3266,5001,7914,1189,943,2555,16814,1146,911,2408,16314,1772.97840281266,23345.0527373179,5971.87343043697,4736.31341034656,12832.7473631341,84450.0251130085,494970.645792564,410520.620679555
"32","madracis","KDHIII_37_15_Feb18_010.fcs",1,"MM1-april28",1,190,2.4609,2.2612,0.1997,"8min","KDHIII_37_15_Feb18_010.fcs",127504,3208,5359,8054,1156,1145,2529,14995,1112,1134,2424,14288,2568.85327991988,24266.3995993991,5788.68302453681,5733.6004006009,12663.995993991,75087.6314471708,449395.604395604,374307.972948434
